provincia_ciudad;superficie;altura;habitantes;densidad;promedio;mediana;percentil25;percentil75;percentil10;percentil90
Capital Federal_Liniers;5.4;18;44234;8191;123900;117500;86250;157250;84500;167500
Capital Federal_Mataderos;7.6;18;64932;8543;147200;142000;135000;175000;99400;192000
Capital Federal_Monserrat;2.21;18;39175;17726;115600;112500;92250;123750;74800;162100
Capital Federal_Monte Castro;2.9;18;34584;11;106300;102000;73750;135000;72700;137700
Capital Federal_Nunez;3.9;18;53005;14001;273400;275000;266250;285000;257900;290000
Capital Federal_Once;4.34;18;137521;31686.8;103000;93000;86000;98750;84500;127000
Capital Federal_Palermo;15.6;18;225970;14485;165400;145000;137500;199500;114100;218100
Capital Federal_Parque Avellaneda;5.2;18;54191;10421;107100;100000;80500;136250;74800;141600
Capital Federal_Parque Centenario;3.8;18;89859;23647;130100;135000;90250;153750;84900;185000
Capital Federal_Parque Chacabuco;2.4;18;56281;16447;104900;98500;90000;123000;65000;145200
Capital Federal_Parque Chas;1.4;18;20657;14755;112700;102500;95000;122500;91800;156400
Capital Federal_Parque Patricios;3.8;18;40885;10759;104600;81000;76250;121500;74300;172000
Capital Federal_Paternal;2.4;18;20053;8355;98400;89500;80250;123250;74700;130000
Capital Federal_Pompeya;6.1;18;63276;10373;87700;85000;75500;90000;70000;107500
Capital Federal_Puerto Madero;2.11;18;7000;3791;303000;330000;320000;340000;175000;350000
Capital Federal_Recoleta;5.72;18;157932;27610;138500;125000;116250;155000;114000;175000
Capital Federal_Retiro;3.81;18;45002;11812;135000;120000;120000;155000;100000;180000
Capital Federal_Saavedra;5.9;18;51723;8766;131600;108000;99000;174000;89900;200100
Capital Federal_San Cristobal;2.06;18;45608;22140;82200;80000;74250;90000;66500;95200
Capital Federal_San Nicolas;2.31;18;33305;14418;132100;130500;102500;156000;85800;177400
Capital Federal_San Telmo;1.24;18;25969;20943;93700;83000;79250;93500;74400;136400
Capital Federal_Tribunales;2.21;18;39175;17726;133200;127000;119750;138750;98500;157500
Capital Federal_Velez Sarsfield;2.4;18;35963;14943;108400;85000;80500;138750;77700;162000
