provincia_ciudad;superficie;altura;habitantes;densidad;promedio;mediana;percentil25;percentil75;percentil10;percentil90
Capital Federal_Abasto;4.2;18;132863.5;31632.3;81.2;80;67.25;92.5;62.7;97.4
Capital Federal_AgronomÃ­a;2.13;18;13963;6555;101.7;96.5;74.25;138;58.6;140.5
Capital Federal_Almagro;4.06;18;128206;31577.8;121.9;116;102.25;143.5;95.5;158.7
Capital Federal_Balvanera;4.34;18;137521;31686.8;83.5;87;68.75;96.5;62.4;105
Capital Federal_Barracas;7.9;18;73377;9288.2;128.2;131;117.25;141.75;100.6;151.8
Capital Federal_Barrio Norte;4.77;18;101467;19711;172.1;169;117;216.25;106.7;238.1
Capital Federal_Belgrano;8.02;18;126816;15812.4;145.3;145.5;115.5;176;99.5;179.7
Capital Federal_Boca;3.38;18;49745;13756;79.1;81.5;76;84.75;58.5;92.8
Capital Federal_Boedo;2.61;18;45563;17457;94.8;82.5;69;114.75;66.8;137
Capital Federal_Caballito;6.8;18;176076;25893.5;176.6;160;128.75;233.5;104;253.1
Capital Federal_Catalinas;2.21;18;39175;17726;110;95;82;118.25;80;172.5
Capital Federal_Centro / Microcentro;2.78;18;39160.67;14652;100.1;99.5;90.25;111.5;70.6;129.1
Capital Federal_Chacarita;3.12;18;25778;8262.1;114.8;124;115.75;128.75;78.5;130.5
Capital Federal_Coghlan;1.28;18;18021;14078.9;128.3;133.5;115.5;137.75;103.5;155.4
Capital Federal_Colegiales;2.29;18;52391;22878.1;173.2;183.5;151.25;196;143.7;208.1
Capital Federal_Congreso;4.34;18;137521;31686.8;96.6;85;69.75;118.75;62.5;145.5
Capital Federal_ConstituciÃ³n;2.11;18;41894;19854.8;84.1;82.5;73.5;95;70;98.2
Capital Federal_Flores;8.6;18;142695;13592.4;151.6;162;138.25;168.75;110;175.4
Capital Federal_Floresta;2.4;18;39473;16447;100.7;95;87.25;112.5;82.4;119.8
Capital Federal_Las CaÃ±itas;15.6;18;225970;14485;122.3;126;107;137.25;99.3;140.9
Capital Federal_Liniers;5.4;18;44234;8191;123.9;117.5;86.25;157.25;84.5;167.5
Capital Federal_Mataderos;7.6;18;64932;8543;147.2;142;135;175;99.4;192
Capital Federal_Monserrat;2.21;18;39175;17726;115.6;112.5;92.25;123.75;74.8;162.1
Capital Federal_Monte Castro;2.9;18;34584;11;106.3;102;73.75;135;72.7;137.7
Capital Federal_NuÃ±ez;3.9;18;53005;14001;273.4;275;266.25;285;257.9;290
Capital Federal_Once;4.34;18;137521;31686.8;103;93;86;98.75;84.5;127
Capital Federal_Palermo;15.6;18;225970;14485;165.4;145;137.5;199.5;114.1;218.1
Capital Federal_Parque Avellaneda;5.2;18;54191;10421;107.1;100;80.5;136.25;74.8;141.6
Capital Federal_Parque Centenario;3.8;18;89859;23647;130.1;135;90.25;153.75;84.9;185
Capital Federal_Parque Chacabuco;2.4;18;56281;16447;104.9;98.5;90;123;65;145.2
Capital Federal_Parque Chas;1.4;18;20657;14755;112.7;102.5;95;122.5;91.8;156.4
Capital Federal_Parque Patricios;3.8;18;40885;10759;104.6;81;76.25;121.5;74.3;172
Capital Federal_Paternal;2.4;18;20053;8355;98.4;89.5;80.25;123.25;74.7;130
Capital Federal_Pompeya;6.1;18;63276;10373;87.7;85;75.5;90;70;107.5
Capital Federal_Puerto Madero;2.11;18;7000;3791;303;330;320;340;175;350
Capital Federal_Recoleta;5.72;18;157932;27610;138.5;125;116.25;155;114;175
Capital Federal_Retiro;3.81;18;45002;11812;135;120;120;155;100;180
Capital Federal_Saavedra;5.9;18;51723;8766;131.6;108;99;174;89.9;200.1
Capital Federal_San Cristobal;2.06;18;45608;22140;82.2;80;74.25;90;66.5;95.2
Capital Federal_San NicolÃ¡s;2.31;18;33305;14418;132.1;130.5;102.5;156;85.8;177.4
Capital Federal_San Telmo;1.24;18;25969;20943;93.7;83;79.25;93.5;74.4;136.4
Capital Federal_Tribunales;2.21;18;39175;17726;133.2;127;119.75;138.75;98.5;157.5
Capital Federal_Velez Sarsfield;2.4;18;35963;14943;108.4;85;80.5;138.75;77.7;162
Capital Federal_Versalles;1.5;18;14178;9452;119.7;115;110.75;124.5;101.2;134
Capital Federal_Villa Crespo;3.8;18;89859;23647;147.6;152.5;106.5;180;94.4;198.1
Capital Federal_Villa del Parque;3.6;18;58573;16270;118.5;116;115;119.5;107.9;129.4
Capital Federal_Villa Devoto;6.6;18;71013;10759;143.7;132;116.25;165;88.5;212.5
Capital Federal_Villa General Mitre;2.2;18;36090;16404;96.3;93;81;101.5;78.5;126
Capital Federal_Villa Lugano;9.2;18;114253;12418;133.1;112.5;100.5;155;97.6;199.2
Capital Federal_Villa Luro;2.6;18;33058;12890;128.7;119;99.75;143;91.1;183.5
Capital Federal_Villa Ortuzar;1.8;18;22591;18825;118.8;122.5;107.5;133.25;94;136
